Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.028226	1.131290	99.530000	75.460000	
0.010000	0.026756	1.121460	99.598000	75.700000	
0.010000	0.025886	1.142394	99.590000	75.610000	
0.010000	0.024187	1.135834	99.662000	75.600000	
0.010000	0.023664	1.141110	99.678000	75.750000	
0.010000	0.023274	1.149298	99.656000	75.640000	
0.010000	0.022159	1.150483	99.664000	75.450000	
0.010000	0.022792	1.143772	99.688000	75.820000	
0.010000	0.022487	1.152482	99.650000	75.490000	
0.010000	0.021188	1.153002	99.700000	75.700000	
0.010000	0.021075	1.152912	99.698000	75.860000	
0.010000	0.020308	1.160631	99.728000	75.720000	
0.010000	0.019542	1.163055	99.740000	75.720000	
0.010000	0.018875	1.163404	99.780000	75.540000	
0.010000	0.018750	1.155141	99.764000	75.670000	
0.010000	0.018713	1.166423	99.768000	75.420000	
0.001000	0.017221	1.156360	99.802000	75.570000	
0.001000	0.016091	1.159820	99.842000	75.730000	
0.001000	0.015876	1.154685	99.838000	75.760000	
0.001000	0.015387	1.157344	99.850000	75.770000	
0.001000	0.015348	1.152117	99.846000	75.720000	
0.001000	0.015257	1.152496	99.858000	75.730000	
0.001000	0.014847	1.154044	99.866000	75.610000	
0.001000	0.014266	1.155777	99.862000	75.760000	
0.001000	0.014746	1.150885	99.876000	75.970000	
0.001000	0.014398	1.161271	99.858000	75.770000	
0.001000	0.014307	1.155647	99.882000	75.920000	
0.001000	0.014485	1.149332	99.864000	75.820000	
0.001000	0.014520	1.157920	99.876000	75.770000	
0.001000	0.014138	1.155479	99.880000	75.640000	
0.001000	0.013965	1.152268	99.892000	75.910000	
0.001000	0.014063	1.151131	99.882000	75.910000	
0.001000	0.013957	1.152813	99.870000	75.680000	
0.001000	0.013610	1.159708	99.890000	75.580000	
0.001000	0.013494	1.157372	99.890000	75.750000	
0.001000	0.014007	1.157558	99.870000	75.600000	
0.001000	0.013515	1.155544	99.880000	75.690000	
0.001000	0.013821	1.152358	99.874000	75.700000	
0.001000	0.013762	1.156140	99.872000	75.680000	
0.001000	0.013554	1.156953	99.876000	75.670000	
0.001000	0.013179	1.155633	99.908000	75.660000	
0.001000	0.013410	1.161371	99.896000	75.720000	
0.001000	0.013094	1.156414	99.894000	75.760000	
0.001000	0.013520	1.159338	99.884000	75.740000	
0.001000	0.012945	1.156953	99.914000	75.790000	
0.001000	0.013899	1.158012	99.860000	75.860000	
0.001000	0.012783	1.155980	99.910000	75.860000	
0.001000	0.013298	1.157948	99.874000	75.720000	
0.001000	0.013227	1.160582	99.874000	75.600000	
0.001000	0.013139	1.157119	99.886000	75.670000	
0.001000	0.013254	1.160442	99.898000	75.740000	
0.001000	0.012786	1.159834	99.900000	75.600000	
0.001000	0.012663	1.158230	99.900000	75.530000	
0.001000	0.013289	1.159916	99.888000	75.680000	
0.001000	0.013376	1.161916	99.880000	75.730000	
0.001000	0.013222	1.153527	99.902000	75.770000	
0.001000	0.012736	1.159180	99.902000	75.700000	
0.001000	0.013060	1.157591	99.886000	75.710000	
